CPIAUCSL,FEDFUNDS,M2SL,M2V,GDPC1
119.0,8.01,2952.0,1.7976666666666667,9588.605666666666
119.5,8.19,2956.9,1.8053333333333332,9631.005333333334
119.9,8.3,2965.3,1.813,9673.405
120.3,8.35,2980.2,1.822,9706.178333333333
120.7,8.76,2988.2,1.831,9738.951666666668
121.2,9.12,2991.7,1.84,9771.725
121.6,9.36,2992.2,1.847,9796.581
122.2,9.85,2999.7,1.854,9821.437
123.1,9.84,3006.0,1.861,9846.293
123.7,9.81,3011.6,1.8583333333333334,9870.604666666666
124.1,9.53,3027.9,1.8556666666666666,9894.916333333333
124.5,9.24,3052.4,1.853,9919.228
124.5,8.99,3074.4,1.8466666666666667,9925.741
124.8,9.02,3092.5,1.8403333333333334,9932.253999999999
125.4,8.84,3114.1,1.834,9938.767
125.9,8.55,3133.3,1.8386666666666667,9974.973333333333
126.3,8.45,3152.5,1.8433333333333335,10011.179666666667
127.5,8.23,3166.8,1.848,10047.386
128.0,8.24,3179.2,1.8516666666666668,10059.542333333333
128.6,8.28,3190.1,1.8553333333333333,10071.698666666667
128.9,8.26,3201.6,1.859,10083.855
129.1,8.18,3200.6,1.858,10086.092999999999
129.9,8.29,3213.7,1.857,10088.331
130.5,8.15,3224.5,1.856,10090.569
131.6,8.13,3242.0,1.8503333333333334,10059.947333333334
132.5,8.2,3254.6,1.8446666666666667,10029.325666666666
133.4,8.11,3259.3,1.839,9998.704
133.7,7.81,3262.6,1.8346666666666667,9983.108
134.2,7.31,3271.8,1.8303333333333334,9967.511999999999
134.7,6.91,3287.7,1.826,9951.916
134.8,6.25,3304.5,1.8283333333333334,9977.780666666666
134.8,6.12,3321.9,1.8306666666666667,10003.645333333334
135.1,5.91,3332.4,1.833,10029.51
135.6,5.78,3343.0,1.8386666666666667,10046.405
136.0,5.9,3351.9,1.8443333333333334,10063.3
136.2,5.82,3356.1,1.85,10080.195
136.6,5.66,3355.0,1.8536666666666668,10091.906333333332
137.0,5.45,3354.9,1.8573333333333333,10103.617666666667
137.2,5.21,3360.1,1.861,10115.329
137.8,4.81,3365.5,1.8653333333333333,10155.697666666667
138.2,4.43,3372.2,1.8696666666666668,10196.066333333332
138.3,4.03,3381.2,1.874,10236.435
138.6,4.06,3400.0,1.8843333333333334,10273.432999999999
139.1,3.98,3403.9,1.8946666666666667,10310.431
139.4,3.73,3399.7,1.905,10347.429
139.7,3.82,3398.6,1.9136666666666666,10381.510333333334
140.1,3.76,3393.4,1.9223333333333334,10415.591666666667
140.5,3.25,3393.9,1.931,10449.673
140.8,3.3,3398.8,1.9376666666666666,10485.998
141.1,3.22,3410.3,1.9443333333333335,10522.323
141.7,3.1,3423.8,1.951,10558.648
142.1,3.09,3426.5,1.9576666666666667,10564.523666666666
142.3,2.92,3424.7,1.9643333333333335,10570.399333333333
142.8,3.02,3419.1,1.971,10576.275
143.1,3.03,3414.5,1.9756666666666667,10596.798999999999
143.3,3.07,3411.7,1.9803333333333335,10617.323
143.8,2.96,3411.3,1.985,10637.847
144.2,3.0,3436.9,1.989,10654.766666666666
144.3,3.04,3442.4,1.993,10671.686333333333
144.5,3.06,3442.0,1.997,10688.606
144.8,3.03,3445.7,2.005666666666667,10737.066333333332
145.0,3.09,3452.2,2.0143333333333335,10785.526666666667
145.6,2.99,3456.7,2.023,10833.987
146.0,3.02,3470.1,2.031,10869.029999999999
146.3,2.96,3474.5,2.039,10904.073
146.3,3.05,3474.9,2.047,10939.116
